#,Spawn ID,Hour Spawn,"Day of the Week (1 = Wednesday, 2 = Thurday, 7 = Tuesday etc)","Label (1 if squirtle, 0 if else)"
1,1,19,1,1
3,1,21,1,1
5,1,23,1,0
7,3,7,1,1
9,3,9,1,0
11,3,11,1,1
13,3,13,1,0
15,3,15,1,0
17,3,17,1,1
19,3,19,1,0
21,3,21,1,1
23,5,1,1,1
25,5,3,1,1
27,5,5,1,0
29,5,7,1,1
31,6,1,1,0
33,6,3,1,0
35,8,18,1,0
37,8,20,1,0
39,8,22,1,0
41,8,24,1,0
43,10,4,1,0
45,10,6,1,1
47,10,8,1,0
49,10,10,1,0
51,10,12,1,0
53,10,14,1,0
55,10,16,1,0
57,10,18,1,0
59,1,2,2,0
61,1,4,2,0
63,1,6,2,0
65,1,8,2,0
67,1,10,2,1
69,2,16,2,1
71,2,18,2,0
73,2,20,2,0
75,2,22,2,0
77,4,5,2,0
79,4,7,2,1
81,4,9,2,1
83,4,11,2,0
85,4,13,2,1
87,4,15,2,0
89,4,17,2,0
91,4,19,2,0
93,4,21,2,0
95,7,13,2,0
97,7,15,2,0
99,7,17,2,0
101,7,19,2,0
103,7,21,2,0
105,7,23,2,1
107,8,1,2,0
109,8,3,2,0
111,8,5,2,0
113,8,7,2,0
115,8,9,2,0
117,9,5,2,0
119,9,7,2,0
121,9,9,2,0
123,9,11,2,0
125,9,13,2,0
127,9,15,2,0
129,9,17,2,0
131,2,1,3,1
133,2,3,3,1
135,2,5,3,1
137,2,7,3,1
139,3,20,3,0
141,3,22,3,0
143,5,5,3,1
145,5,7,3,0
147,5,9,3,0
149,5,11,3,0
151,5,13,3,0
153,5,15,3,1
155,5,17,3,0
157,5,19,3,0
159,6,1,3,0
161,6,3,3,0
163,6,5,3,0
165,6,7,3,0
167,6,9,3,0
169,6,11,3,0
171,6,13,3,0
173,6,15,3,0
175,7,2,3,0
177,7,4,3,1
179,10,13,3,0
181,10,15,3,0
183,10,17,3,0
185,10,19,3,0
187,10,21,3,0
189,10,23,3,0
191,1,7,4,0
193,1,9,4,1
195,1,11,4,0
197,1,13,4,0
199,1,15,4,1
201,1,17,4,1
203,1,19,4,1
205,1,21,4,1
207,3,1,4,1
209,3,3,4,1
211,3,5,4,1
213,3,7,4,0
215,3,9,4,0
217,4,16,4,1
219,4,18,4,0
221,4,20,4,0
223,4,22,4,1
225,8,6,4,0
227,8,8,4,0
229,8,10,4,0
231,8,12,4,1
233,8,14,4,0
235,8,16,4,0
237,8,18,4,0
239,8,20,4,0
241,9,15,4,0
243,9,17,4,0
245,9,19,4,0
247,9,21,4,0
249,9,23,4,0
251,10,2,4,0
253,10,4,4,0
255,10,6,4,0
257,2,2,5,0
259,2,4,5,0
261,2,6,5,0
263,3,19,5,1
265,3,21,5,0
267,3,23,5,1
269,5,6,5,1
271,5,8,5,1
273,5,10,5,0
275,5,12,5,0
277,5,14,5,0
279,5,16,5,0
281,5,18,5,1
283,5,20,5,1
285,6,2,5,0
287,6,4,5,0
289,6,6,5,0
291,6,8,5,0
293,6,10,5,0
295,6,12,5,1
297,6,14,5,0
299,7,1,5,0
301,7,3,5,0
303,7,5,5,0
305,10,14,5,1
307,10,16,5,1
309,10,18,5,0
311,10,20,5,0
313,10,22,5,0
315,1,6,6,1
317,1,8,6,0
319,1,10,6,1
321,1,12,6,0
323,1,14,6,0
325,1,16,6,1
327,1,18,6,0
329,1,20,6,0
331,1,22,6,1
333,3,2,6,0
335,3,4,6,1
337,3,6,6,0
339,3,8,6,0
341,3,10,6,1
343,4,17,6,0
345,4,19,6,1
347,4,21,6,1
349,4,23,6,0
351,8,7,6,0
353,8,9,6,0
355,8,11,6,0
357,8,13,6,0
359,8,15,6,0
361,8,17,6,0
363,8,19,6,0
365,8,21,6,0
367,9,16,6,1
369,9,18,6,0
371,9,20,6,0
373,9,22,6,0
375,10,1,6,0
377,10,3,6,0
379,10,5,6,1
381,2,4,7,1
383,2,6,7,1
385,2,8,7,0
387,2,10,7,0
389,2,12,7,1
391,2,14,7,0
393,2,16,7,0
395,2,18,7,0
397,4,1,7,0
399,4,3,7,0
401,4,5,7,1
403,4,7,7,0
405,5,16,7,0
407,5,18,7,0
409,5,20,7,1
411,5,22,7,1
413,6,12,7,0
415,6,14,7,0
417,6,16,7,1
419,6,18,7,0
421,6,20,7,0
423,6,22,7,0
425,7,2,7,0
427,7,4,7,0
429,7,6,7,1
431,7,8,7,0
433,7,10,7,0
435,7,12,7,0
437,7,14,7,0
439,7,16,7,0
441,9,1,7,0
443,9,3,7,0
445,9,5,7,0
447,9,7,7,0
