#,Spawn ID,Hour Spawn,"Day of the Week (1 = Wednesday, 2 = Thurday, 7 = Tuesday etc)","Label (1 if squirtle, 0 if else)"
2,1,20,1,0
4,1,22,1,0
6,1,24,1,1
8,3,8,1,0
10,3,10,1,1
12,3,12,1,0
14,3,14,1,1
16,3,16,1,1
18,3,18,1,0
20,3,20,1,0
22,3,22,1,0
24,5,2,1,0
26,5,4,1,0
28,5,6,1,1
30,5,8,1,0
32,6,2,1,0
34,6,4,1,0
36,8,19,1,1
38,8,21,1,0
40,8,23,1,0
42,10,3,1,0
44,10,5,1,0
46,10,7,1,0
48,10,9,1,0
50,10,11,1,0
52,10,13,1,1
54,10,15,1,0
56,10,17,1,0
58,1,1,2,1
60,1,3,2,1
62,1,5,2,1
64,1,7,2,0
66,1,9,2,0
68,2,15,2,1
70,2,17,2,0
72,2,19,2,0
74,2,21,2,1
76,2,23,2,1
78,4,6,2,0
80,4,8,2,0
82,4,10,2,0
84,4,12,2,0
86,4,14,2,1
88,4,16,2,1
90,4,18,2,1
92,4,20,2,1
94,7,12,2,0
96,7,14,2,0
98,7,16,2,0
100,7,18,2,0
102,7,20,2,0
104,7,22,2,0
106,7,24,2,0
108,8,2,2,0
110,8,4,2,0
112,8,6,2,0
114,8,8,2,0
116,9,4,2,0
118,9,6,2,0
120,9,8,2,0
122,9,10,2,0
124,9,12,2,1
126,9,14,2,0
128,9,16,2,1
130,9,18,2,0
132,2,2,3,0
134,2,4,3,0
136,2,6,3,0
138,3,19,3,1
140,3,21,3,0
142,3,23,3,1
144,5,6,3,1
146,5,8,3,1
148,5,10,3,0
150,5,12,3,0
152,5,14,3,0
154,5,16,3,0
156,5,18,3,1
158,5,20,3,1
160,6,2,3,0
162,6,4,3,0
164,6,6,3,0
166,6,8,3,0
168,6,10,3,0
170,6,12,3,1
172,6,14,3,0
174,7,1,3,0
176,7,3,3,0
178,7,5,3,0
180,10,14,3,1
182,10,16,3,1
184,10,18,3,0
186,10,20,3,0
188,10,22,3,0
190,1,6,4,1
192,1,8,4,0
194,1,10,4,1
196,1,12,4,0
198,1,14,4,0
200,1,16,4,1
202,1,18,4,0
204,1,20,4,0
206,1,22,4,1
208,3,2,4,0
210,3,4,4,1
212,3,6,4,0
214,3,8,4,0
216,3,10,4,1
218,4,17,4,0
220,4,19,4,1
222,4,21,4,1
224,4,23,4,0
226,8,7,4,0
228,8,9,4,0
230,8,11,4,0
232,8,13,4,0
234,8,15,4,0
236,8,17,4,0
238,8,19,4,0
240,8,21,4,0
242,9,16,4,1
244,9,18,4,0
246,9,20,4,0
248,9,22,4,0
250,10,1,4,0
252,10,3,4,0
254,10,5,4,1
256,2,1,5,1
258,2,3,5,1
260,2,5,5,1
262,2,7,5,1
264,3,20,5,0
266,3,22,5,0
268,5,5,5,1
270,5,7,5,0
272,5,9,5,0
274,5,11,5,0
276,5,13,5,0
278,5,15,5,1
280,5,17,5,0
282,5,19,5,0
284,6,1,5,0
286,6,3,5,0
288,6,5,5,0
290,6,7,5,0
292,6,9,5,0
294,6,11,5,0
296,6,13,5,0
298,6,15,5,0
300,7,2,5,0
302,7,4,5,1
304,10,13,5,0
306,10,15,5,0
308,10,17,5,0
310,10,19,5,0
312,10,21,5,0
314,10,23,5,0
316,1,7,6,0
318,1,9,6,1
320,1,11,6,0
322,1,13,6,0
324,1,15,6,1
326,1,17,6,1
328,1,19,6,1
330,1,21,6,1
332,3,1,6,1
334,3,3,6,1
336,3,5,6,1
338,3,7,6,0
340,3,9,6,0
342,4,16,6,1
344,4,18,6,0
346,4,20,6,0
348,4,22,6,1
350,8,6,6,0
352,8,8,6,0
354,8,10,6,0
356,8,12,6,1
358,8,14,6,0
360,8,16,6,0
362,8,18,6,0
364,8,20,6,0
366,9,15,6,0
368,9,17,6,0
370,9,19,6,0
372,9,21,6,0
374,9,23,6,0
376,10,2,6,0
378,10,4,6,0
380,10,6,6,0
382,2,5,7,0
384,2,7,7,1
386,2,9,7,0
388,2,11,7,0
390,2,13,7,1
392,2,15,7,0
394,2,17,7,1
396,2,19,7,0
398,4,2,7,0
400,4,4,7,1
402,4,6,7,1
404,4,8,7,1
406,5,17,7,1
408,5,19,7,0
410,5,21,7,1
412,5,23,7,0
414,6,13,7,0
416,6,15,7,0
418,6,17,7,0
420,6,19,7,0
422,6,21,7,0
424,6,23,7,0
426,7,3,7,0
428,7,5,7,0
430,7,7,7,1
432,7,9,7,0
434,7,11,7,0
436,7,13,7,0
438,7,15,7,0
440,7,17,7,0
442,9,2,7,1
444,9,4,7,0
446,9,6,7,0
